title,intro,aid,view,danmaku,reply,favorite,coin,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
15个让你不敢直视的游戏镜头,"""""https://www.youtube.com/watch?v=9evfAXbkQHU 
15 Disturbing Moments In Video Games That You Wouldn\'t Dare To Watch
15个最令人不安且难以直视的游戏镜头
remember no Russian""""",4410519,47868,1710,86,1572,86,游戏,特殊行动 一线生机,暴雨,使命召唤,合金装备5,,,,,
【三站联合】160416 Battle Trip 战斗旅行 E01 全场中字[KO_CN],"""""自制 禁止二改二传商用涂抹logo，转载请注明三站并携带海报。""""",4410532,14506,246,14,376,20,利特,HEARTBEAT尹斗俊吧,SUPERJUNIOR,利特吧,呆萌字幕组,BATTLE TRIP,战斗旅行,尹斗俊,BEAST,
 【BTS字幕组】秘恋之我亲爱的狗狗 第五集,"""""GMM BTS字幕组诚邀泰翻、时间轴，特效，压制等，有意者请私信或加QQ1910690812。""""",4410544,35000,1475,70,827,81,Off Jumpol,Cherreen Nachjaree,Kang Vorakorn,PUPPY HONEY,BTS字幕组,秘恋之我亲爱的狗狗,Gun Atthaphan,,,
【德语中字】15个充满喜感的巧合！  @Selfly工作室,"""""youtube 
听力：思嘉         翻译：QiAN-Ü      校对：名字是艺术         时间轴：犁田至死的肘子

招募翻译君...加我们的QQ群吧...快来拯救我...进群送污妖王  QQ群 432878582


https://www.youtube.com/watch?v=71h9sOEXavg  2016年3月24日发布""""",4410535,15509,138,22,190,80,SELFLYTV,MADE MY DAY,德语,趣味短片,,,,,,
【剑网3MMD】 明 Yuki s death  破虏喵哥模型测试02,"""""自制 借物见视频。
听说你们觉得破虏喵哥很清新很治愈很温柔?→_→
才没有呢！！白切黑up主最喜欢了(ˉ﹃ˉ)
暗黑系才是Up主的心头好啊！！！
【PS：此喵哥有尖牙血瞳注意，谨慎食用么么哒】""""",4410553,16300,432,119,1289,594,剑三MMD,原创模型,,,,,,,,
专业道具制作团队打造《炉石传说》盒子,"""""YouTube 【抄卡组/竞技场黑科技选牌插件推荐→公众订阅号号：lushi101】源地址：https://youtu.be/mWOJuUVc_0Y；源标题：Prop- Shop - Hearthstone Box""""",4410563,12726,84,24,114,29,炉石传说,炉石,HEARTHSTONE,上古之神的低语,,,,,,
【靳东】【1080p】欢乐颂-谭宗明cut（完结，感谢一路有你们）,"""""老谭的背影也很苏呜呜呜呜""""",4410570,34275,2306,125,1722,193,影视剪影,靳东,欢乐颂,谭宗明,,,,,,
盘点十大玩智商的犯罪电影,"""""自制 智商这事儿道高一尺魔高一丈，电影中玩智商的电影不在少数，而能部部高能的且值得一看的佳作并不是很多，本期正太不得不影评盘点十大玩智商的犯罪电影，也考考各位小伙伴们智商！""""",4410576,52387,659,178,2910,537,十大盘点,犯罪,智商,电影杂谈,影评,正太不得不影评,,,,
【木鱼说】一个好端端的男人是如何成为哲♂学♂家的？,"""""自制 一个男人，如何成为一名哲♂学♂家呢？""""",4410591,41135,496,287,501,779,哲学,吐槽,木鱼水心,木鱼三分钟影评,木鱼说,谁是王牌诠释者,,,,
【柚痒路石】陆家嘴第一届鸭王争霸赛,"""""自制 总共有三期，下期是柚子来投。黑石稔才是大boss""""",4410615,162381,2980,1460,1723,1421,柚子自杀了,手无缚鸭之力,鸭王争霸赛,A路人の自杀,我是你的偶像,黑石稔,A路人,柚子又抽了,痒局长,白学家就算是局长我也打死给你看!
【炉石传说开卡包】第二集：双橙三橙开过瘾！全世界主播带你疯狂开包！,"""""https://www.youtube.com/watch?v=VEKzU0Fxsmg Via: Youtube    作者: Summoned - Hearthstone Moments
48小时制作了一个海绵宝宝的电影预告片剪辑，【后期】你绝未见过如此高端的海绵宝宝！""""",4410632,39806,909,89,266,39,炉石,搞笑,娱乐,精彩集锦,游戏集锦,YOUTUBE,逗鱼时刻,炉石传说,卡牌对战,
【犯罪】旺角揸fit人 粤语中字,"""""影片讲述了一个本性纯良的青年加入了黑社会，不断被他身边的朋友、女友、大佬出卖，并赶尽杀绝，连他身怀六甲的日籍太太也不放过，于是他发誓要做一个最坏最坏的人，最后变成丧尽天良的0力君。但世事真的这样一面倒的只有他是受害者吗?还是另外一回事……""""",4410692,24239,806,16,367,20,香港电影,古惑仔,吴镇宇,李丽珍,,,,,,
【μen\'s】 SUNNY DAY SONG 男体化 【宅舞】,"""""原创：最後/315 前作Dancing stars on me：""""",4410706,11822,370,74,317,178,宅舞,LOVELIVE,SUNNY DAY SONG,男体化,LOVE LIVE!,,,,,
FailArmy系列的悲剧傻缺集锦合集,"""""本次合集为第一期至2013年最后一期""""",4410851,216711,9116,494,5465,589,悲剧傻缺,FAILARMY,西瓜都打不过我,,,,,,,
【街头实验】开劳斯莱斯在莫斯科大学校门口测试拜金女 @柚子木字幕组,"""""2 https://www.youtube.com/watch?v=DhZOts5gL7o【柚子木字幕组论坛正式开放 www.youzimu.com 招募翻译、听译、校对、时间轴】 更多精彩视频请 微信公众号Youzimu  微博搜索@柚子木字幕组 http://weibo.com/youzimucom""""",4410854,130748,675,581,929,122,柚子木字幕组,YOUTUBE,全TM是套路,,,,,,,
越南版《花千骨》,"""""新浪微博 微博热搜的越南版花千骨，搬过来喂投点弹幕。。。""""",4410865,81828,3669,401,622,118,中文字幕,治愈,短片,正能量,ED感人,别跳ED,花千鬼,国产没看过就来看越南版我是一个人吗,少年男主不错,
【2016大河剧/720P】【堺雅人】真田丸 14【琵琶行字幕组】,""""". 【本剧与 时快时慢 合投】堺雅人×大泉洋×长泽雅美室町幕府灭亡后，日本进入了混乱的战国时代，上至大名下至庶民，每个人都在为了活下去而拼命挣扎。机智、知识、武勇、统率力，还有运气等等，只有掌握与众不同能力的人才能在残酷的竞争中存活下来。""""",4410869,27328,1001,17,68,29,日剧,大河剧,真田丸,堺雅人,,,,,,
【小嶋阳菜独家对话】大王微博上的真相!惊觉粉丝们的暱称用法!【新浪娱乐】,"""""160419  用中文好好的调教你们一下~""""",4410874,10174,182,34,273,46,AKB48,小嶋阳菜,,,,,,,,
【波澜哥】Sao老师 你把我灌醉吧！！！T_T,"""""自制 跟一波风 参考""""",4410875,190991,2811,476,3034,1701,RAP,电音,新的风暴,新的素材。并非万恶,蜜汁带感,嫌弃破烂,波澜哥,调音师拯救世界,,
【帝听sakya】九九八十一,"""""自制 【帝听sakya】九九八十一

作编曲：烏龜
作詞：邪叫教主
吉他：康師傅の海鮮麵
班蘇里笛（Bansuri）：O天氣晴朗O
打擊樂：司鼓君
琵琶：東北餡餃子
混音：潜小虾
翻唱：帝听sakya
压制：栗原 
人声本家：西瓜kune
""""",4410878,41957,766,434,1724,1042,帝听SAKYA,九九八十一,中文翻唱,温柔的SAMA,,,,,,
【lolo】马里奥坟场日常：搬砖也要技术,"""""自制 马里奥终于来到了公主面前""""",4410898,21240,1324,175,64,271,WIIU,马里奥制造,标准结局,简介都是骗人的,,,,,,
任何形式的爱 都应该被尊重,"""""自制 任何形式的爱 都应该被尊重""""",4410904,20356,229,58,399,224,校园,短片,微电影,爱情,青春,剧情,同性,,,
【蝙超/本亨】情侶日常,"""""自制 靈感來自於發生在我現實生活中的一件事
雖然怨念深
但是視頻還是甜的
偷吃你東西 特別是偷吃冰激凌的人 就趕緊撕了吧：）
依舊是結束的很突然...........""""",4410956,20788,361,85,1052,514,DC,本亨,蝙蝠侠,蝙蝠侠大战超人,蝙超,BEN AFFLECK,Henry Cavill,,,
【王小胖】使命召唤OL丨Boom shakalaka,"""""自制 各位么么哒~""""",4410985,12998,512,84,55,282,使命召唤,COD,使命召唤OL,实况解说,电竞赛事,游戏杂谈,游戏集锦,CODOL,听着就疼,
传说中最难喝的五种饮料,"""""自制 特别感谢大软哥哥提供的饮料...真的...很感谢...
总之希望你们喜欢：）""""",4411020,250637,9818,1893,1444,4572,色情男主播,传说中最难喝的五种饮料,,,,,,,,
【黑暗之魂3】黑桐谷歌视频攻略 05 磔罚森林,"""""自制 新浪微博 weibo.com/blackgoogle
优酷空间 i.youku.com/heitongguge
土豆空间 v.tudou.com/HTGG/
搜狐视频 http://my.tv.sohu.com/user/heitongguge
youtube www.youtube.com/channel/UCd9PeBRPrbNaAsqIkFGUiUg""""",4411062,375634,5669,947,1223,4711,攻略,黑桐谷歌,PS4,ASS ASS IN,日番谷,欧洲细作,黑暗之魂3,反叛的萝莉控,奎爷早期作品,欧皇谷
【电影剪辑】东方不败风云再起 1993 东方不败X雪千寻 爱殇&人生如此,"""""自制 被老王和教主美到了所以手痒剪了一段""""",4411121,14223,136,17,446,119,电影剪辑,林青霞,王祖贤,爱殇,人生如此,东雪,武侠,东方不败风云再起,,
【闇音レンリ】Cynic【ポリスピカデリー】,"""""
【PP第五作，神调教丝毫不减色，曲子也是有了进步】
最初からそこにあったもの。
どうも。ポリスピカデリーといいます。
Vocal：闇音レンリ Ver1.5　  Music &amp; Movie：ポリスピカデリー  Illustration：葉月 紗さま (http://bit.ly/1V744g6)
←前作『曖昧さ回避』""""",4411168,125198,1105,1146,14446,3366,UTAU,神调教,闇音レンリ,POLICE PICCADILLY,ポリスピカデリー,CYNIC,,,,
【韩剧】千次的吻 金素恩柳镇cut （50集全+各种花絮）,"""""百度云盘 坚定爱素恩一百年！

本剧讲述了一个高冷别扭的高富帅大叔和萌萌哒小白兔记者的爱情故事，轻松有趣。虽然后半部分有点小虐，但结局HE，大家可以放心看。

另外，这部剧的资源比较少，这是我能搞到的最清楚的片源了，画质有点渣，不好意思啊，哈哈哈~~不过，用手机看比电脑清楚哦。""""",4411186,155698,2070,80,2446,119,柳镇,大叔萝莉,韩剧,爱情,金素恩,剧情,完结剧集,熟肉,影视剪影,剪辑
【王菲】天后大乱斗,"""""1994年加港爱心表演 香港三大天后林忆莲X王菲X关淑怡 演唱叶玉卿经典曲目《挡不住的风情》以及林子祥经典《男儿当自强》 并表演手劈木板""""",4411202,27076,1367,26,897,83,林忆莲,张学友,王菲,刘德华,你菲想销毁系列,天后,城会玩,怀旧,郭富城,关淑怡
【GOT7】160419 [透鲜滴星期天]王嘉尔感谢何老师 中文字幕,"""""cr;logo 透鲜滴星期天  4月24日""""",4411211,37238,222,63,705,26,GOT7,王嘉尔,段宜恩,崔荣宰,朴珍荣,BAMBAM,林在范,金有谦,,
【大力哥】抢劫的辛酸,"""""自制  大力哥的辛酸抢劫过程  大力哥其实是个挺好的人 祝他早日找回自我""""",4411234,58032,278,113,295,67,大力哥,大力出奇迹,天空之城八音盒,,,,,,,
【东方神起】【日本出道十一周年燃向纪录片】【中英字幕】在路上,"""""自制 TOHOSHINKI 2005.4.27~2016.4.27

感恩过去那段从无到有风雨里闯荡
少年们怀着相同的梦想一致向前
回忆如阳光般温热柔软又如烈酒刻骨入肉
再回不去的旧时光 

珍惜现在你们用在流言的波澜里逆流而上
用意志绽开涅槃浴火重生 
十年如一日的努力不失梦想
换来的宠辱不惊的淡然和源源不断的正能量

期待未来不论你们走到何方我都如影随形
“东方神起现在才刚刚开始”
一朝上路 就永远在路上""""",4411242,13029,790,122,1183,578,TOHOSHINKI,东方神起,金在中,金俊秀,朴有天,郑允浩,沈昌珉,燃向,,
学战都市第二季OP The Asterisk War 完整版附送下载地址！已修复地址！,"""""自制http://pan.baidu.com/s/1cr3wgY 百度下载地址   之前的错了现在是对的了""""",4411262,11932,73,46,163,52,学战都市ASTERISK,THE ASTERISK WAR,学战都市,,,,,,,
ASMR mia 保鲜膜的声音,"""""https://www.youtube.com/watch?v=dPFwrgLiHGU
up：mia asmr""""",4411287,12124,124,54,350,32,ASMR,耳机福利,,,,,,,,
【BEAST】110713-110720两期合集,"""""youku 点进有惊喜，那时候金希澈还在主持，这两期笑点满满，享用愉快。""""",4411321,11454,500,30,871,25,龙俊亨,BEAST,张贤胜,梁耀燮,KOREA综艺,孙东云,李起光,尹斗俊,RADIO STAR,黄金渔场
【盘点向】那些泡菜女团中的天朝妹子,"""""自制 一个很主观很主观的盘点 不妥则删""""",4411326,29254,1876,97,499,40,宋茜,曹璐,KOREA音乐舞蹈,周子瑜,周洁琼,程潇,MISSA霏海南后援会,,,
兔绒夫妇cut,"""""字幕来源 百度张佑荣吧 看得开心~""""",4411337,26651,217,28,1187,38,国外综艺,综艺剪辑,,,,,,,,
【佐助/杉山纪彰】 叫♂声 合集,""""" 声优杉山纪彰的叫声收集
搬运自nico

日常治愈：）""""",4411347,12030,319,83,553,24,火影忍者,声优,宇智波佐助,治愈向,杉山纪彰,心疼嗓子,,,,
【韩国吃播】【吧唧嘴】昌贤欧巴再次挑战10碗炸酱面,"""""https://www.youtube.com/watch?v=-HkFaZ9uwL4 油管：https://www.youtube.com/user/bjummma/featured
ID：BJ 창현""""",4411363,30163,632,29,153,20,吃播,生肉,AFREECA TV,美食视频,吃货,美食圈,韩国吃播,,,
【1080p】【欢乐颂】【蒋欣】樊胜美个人cut合集【第一季已完结】,"""""电视剧《欢乐颂》中蒋欣饰演的樊胜美个人剪辑合集
很抱歉百度云分享已被屏蔽""""",4411381,25914,2201,99,775,102,国产,电视剧,都市,职场,女性,欢乐颂,蒋欣,樊胜美,,
“在MUGEN里开后宫有错吗”杯 24p 你和龙姬是什么关系！,"""""自制 【 继！续！周！更！】
P站id=55942047
录完发现导入pr有2场音画不同步，搞了半天才弄好。(,,• ₃ •,,)
话说录制时才发现龙姬有dio的对应开场，以前都没注意过。ʅ（´◔౪◔）ʃ
血公主似乎也有，只是声音太小听不清，被世界了还会碎碎念，好萌！(,,• ₃ •,,)
另外B站改版以后，没办法一个个回复评论了，会被禁言！ಥ_ಥ
在这里说明一下希望理解，你们的每一个评论我都有认真看过！(ノ｀Д´)ノ""""",4411379,36713,1754,464,443,463,八個球,交出封面 饶你菊花,大乱斗,凶级,杯赛,MUGEN,,,,
【双语】Blur工作室超燃混剪 大作云集 @游民星空字幕组,"""""@游民星空字幕组 Blur最新超燃混剪 大作云集 翻译：@地三鲜烧茄子 欢迎加入粉丝群446225098 另招字幕组成员 招新群464285519 欢迎加入""""",4411409,15990,109,28,183,16,混剪,混剪视频,CG,CG混剪,游民星空字幕组,,,,,
【恐怖】阴阳路7之撞到正【粤语中字】,"""""故事讲述一队摄制组到一偏僻海湾拍摄，无意中把封石池的符咒洗掉，之后村内怪事丛生，原来二十年前一城市青年与一村女相爱，无奈遭人拆散，两人惨死，其魂魄更被符咒所封……""""",4411419,32521,565,22,139,16,香港电影,童年阴影,古天乐,雷宇扬,黎耀祥,,,,,
崩坏学园2 弗兰肯斯坦的伤痕测试,"""""电系手雷吃巴里尔加成，正确使用的话就是自带无限弹药效果，奏冥曲专用，打运动目标效果一般，打定点输出不错""""",4411440,19417,223,178,45,69,崩坏学园2,跳弹,,,,,,,,
【小雨解说】守望先锋教学片之半藏叔叔！,"""""自制 
即将上市的守望先锋终于要来到国内大家的餐桌上了。这里小雨也为大家重新整理了一下各个英雄最近更新后的一些玩法和特点，算是一个简单的教学篇。希望大家能喜欢~""""",4411478,16150,25,7,55,18,守望先锋,小雨解说,第一视角,游戏视频,英雄教学,半藏,大神操作,,,
【杨洋】飘柔ME直播互动,"""""自制 咩咩在飘柔的直播~
【杨洋】【杨洋icon48天团】飘柔ME直播互动""""",4411506,31561,1215,95,1559,335,杨洋,惊人的美貌,,,,,,,,
魔道祖师。魏无羡水彩过程,"""""自制""""",4411514,14024,314,52,1588,245,手绘,水彩,,,,,,,,
Show手旁观175期：宅妹带你修仙问道找欧派,"""""自制 对于宅男们来说，欧派就是正义。可是对于妹纸们来说，欧派却成了烦恼。最近Facebook上流传着一张投诉单，上面的投诉理由就是：“女店员胸部太大”。""""",4411522,11090,181,51,21,39,宅妹,搞笑视频,游戏视频,SHOW手旁观,原创视频,17173,欧派,问道,娱乐解说,宅妹的戒指
童年影视回忆杀虐心盘点,"""""自制  如果你不走，如果我还在。。。可惜不是你，陪我到最后。。。如果。。。没有如果，没有人会一直陪着你，珍惜现在，趁还来得及。""""",4411537,44814,1746,84,1074,62,水月洞天,人龙传说,春光灿烂猪八戒,福星高照猪八戒,陈浩民,方谬神探,武林外史,女娲传说之灵珠,云海玉弓缘,
【科幻】俄罗斯科幻电影《COMA 昏迷》2017年【官方预告片】【1080P】,"""""https://www.youtube.com/watch?v=H0JNCJEH65Q 【类型：科幻】【导演：Nikita Argunov】【2017年】 一个神秘而可怕的事故发生后，一个年轻的天才建筑师发现自己在一个非常奇怪的世界上，只有部分现实。这是基于对某人处于深度昏迷状态的现实记忆世界。人的记忆是零散，混乱和多变。同样是昏迷的空间 - 一个奇怪的一系列的回忆在江河，冰川和城市可以容纳在一个房间，在那里物理学的任何定律可以被打破。主角拥有弄清这个空间的规律，经过不懈努力终于找到一个出口到现""""",4411543,17634,73,39,620,15,3D,俄罗斯,预告片,科幻,COMA,俄罗斯电影,年度巨制,2017年,,
【手机游戏】爱丽丝的精神审判 已完结,"""""弄一个大合集
这样看起来舒服多了""""",4411592,15954,664,80,397,166,手机游戏,推理,爱丽丝的精神审判,爱丽丝的精神裁判,百合,,,,,
【阿D】4月17的挖小狗直播回放,"""""@大锅只是喝醉 视频长一个小时半，大锅露脸，该直播APP上看貌似有弹幕？我不会搞，所以没有禁忌的二重弹幕。大家收看愉快。""""",4411647,32048,454,46,252,57,阿拉斯加,汪星人,阿D,一窝都是女孩子,直播吃屎的大锅,Y染色体缺失的阿D,,,,
输出全靠吼，无尽菜逼双排,"""""自制 “这英雄里有强的，华丽的，操作的，输出高的这么多种”“我要强的”""""",4411655,55547,477,509,134,322,少年PI,游戏名无尽战区,自古输出全靠吼,,,,,,,
【吃货木下】【第五十八期】【生肉】挑战”世界最强“菜肴2份！（Drowing）,"""""https://www.youtube.com/watch?v=ULSrHJOypQo 2014年10月17日发布""""",4411703,44642,310,31,108,27,木下求饱,吃播,吃货木下,大胃王,木下佑哗,YOUTUBE,萌妹纸,美食视频,木下ゆうか,召唤野生字幕君
【西米】有些草 该拔就得拔【认真脸>.<,"""""自制 在宿舍收拾东西的时候，发现自己有好多盲目消费下的无用产物= =
于是录了这个视频
不过我不常住宿舍，宿舍的东西并不是很多，所以东西也就手边看到的一些
没事儿的时候回家收拾收拾再录几个
也给我自己做一个备忘录哈哈
微博：@轴对称少女 http://weibo.com/p/1005053072034475/home?from=page_100505&amp;amp;mod=TAB&amp;amp;is_all=1#place""""",4411713,20812,396,72,592,181,化妆,美妆,日常,彩妆,,,,,,
【吖静sizu】『白金』-shin\'in future Mix-,"""""自制 最近都比较怀旧...喜欢翻跳老曲2333太喜欢yumiko老师的振付！！这首歌也超喜欢！！太治愈了XD 希望自己能跳出老师那种纤细的感觉，看了很多翻跳还是觉得老师原来的有感觉w那种温柔的感觉很符合这首曲子...虽然有点忘动作噗...还请大家多多指教=3=视频那里打漏字了...这是一个bug！请不要介意QAQ 微博：@吖静sizu222
音源""""",4411738,61069,386,202,1426,823,吖静SIZU,SHIN\\\\\'IN FUTURE MIX,宅舞,白金,勤奋的吖静,视频自带白雾,,,,
【巴哥恶搞】ZAYN – PILLOWTALK @柚子木字幕组,"""""2 https://www.youtube.com/watch?v=4wQwwhFl8ag【柚子木字幕组论坛正式开放 www.youzimu.com 招募翻译、听译、校对、时间轴】 更多精彩视频请 微信公众号Youzimu  微博搜索@柚子木字幕组 http://weibo.com/youzimucom""""",4411756,51849,501,140,555,76,YOUTUBE,该来的总会来,PILLOWTALK,柚子木字幕组,小黄歌,BART BAKER,,,,
